SG_PARTIDO,SG_UF,NM_URNA_CANDIDATO,NM_CANDIDATO,ELEITO_ANTERIOR,DS_GENERO,DS_COR_RACA,receita_total,QT_VOTOS_NOMINAIS,POSICAO,QT_VAGAS,ELEITO_REAL,ELEITO_DISTRITAO,DS_SIT_TOT_TURNO
DEM,PA,OLIVAL MARQUES,OLIVAL HENRIQUE MARQUES DE SOUZA,1a ELEIÇÃO,MASCULINO,PARDA,523346.400000001,135398,11,17,1,1,ELEITO POR QP
PSDB,MG,RODRIGO DE CASTRO,RODRIGO BATISTA DE CASTRO,REELEITO,MASCULINO,BRANCA,1776495.1900000004,131120,11,53,1,1,ELEITO POR QP
MDB,SC,PENINHA,ROGERIO MENDONÇA,REELEITO,MASCULINO,BRANCA,1368815.5,76925,11,16,1,1,ELEITO POR MÉDIA
Progressistas,SP,GUILHERME MUSSI,GUILHERME MUSSI FERREIRA,REELEITO,MASCULINO,BRANCA,1773401.0,134301,22,70,1,1,ELEITO POR QP
PSL,RJ,DANIEL SILVEIRA,DANIEL LUCIO DA SILVEIRA,1a ELEIÇÃO,MASCULINO,BRANCA,34344.0,31789,57,46,1,0,ELEITO POR MÉDIA
Progressistas,RS,PEDRO WESTPHALEN,PEDRO BANDARRA WESTPHALEN,1a ELEIÇÃO,MASCULINO,BRANCA,1445460.0,97163,19,31,1,1,ELEITO POR QP
PSOL,RS,FERNANDA MELCHIONNA,FERNANDA MELCHIONNA E SILVA,1a ELEIÇÃO,FEMININO,BRANCA,347313.91,114302,8,31,1,1,ELEITO POR MÉDIA
Republicanos,SP,ROBERTO ALVES,BENEDITO ROBERTO ALVES FERREIRA,REELEITO,MASCULINO,BRANCA,1297210.86,82097,56,70,1,1,ELEITO POR QP
Republicanos,GO,JOÃO CAMPOS,JOÃO CAMPOS DE ARAÚJO,REELEITO,MASCULINO,BRANCA,1564314.7799999998,106014,5,17,1,1,ELEITO POR QP
PL,RN,JOÃO MAIA,JOÃO DA SILVA MAIA,1a ELEIÇÃO,MASCULINO,BRANCA,2463670.0,93505,4,8,1,1,ELEITO POR QP
Republicanos,AL,SEVERINO PESSÔA,SEVERINO DE LIRA PESSÔA,1a ELEIÇÃO,MASCULINO,PARDA,857655.9199999998,70413,7,9,1,1,ELEITO POR QP
PCdoB,BA,ALICE PORTUGAL,ALICE MAZZUCO PORTUGAL,REELEITO,FEMININO,BRANCA,1712765.9,126595,9,39,1,1,ELEITO POR QP
PT,PR,GLEISI LULA,GLEISI HELENA HOFFMANN,1a ELEIÇÃO,FEMININO,BRANCA,1345065.4,212513,3,30,1,1,ELEITO POR QP
PT,SC,PROFESSOR PEDRO UCZAI,PEDRO FRANCISCO UCZAI,REELEITO,MASCULINO,BRANCA,1201526.08,115232,3,16,1,1,ELEITO POR QP
PSB,SP,RODRIGO AGOSTINHO,RODRIGO ANTONIO DE AGOSTINHO MENDONÇA,1a ELEIÇÃO,MASCULINO,BRANCA,247357.08,100179,40,70,1,1,ELEITO POR QP
PSD,PR,SARGENTO FAHUR,GILSON CARDOSO FAHUR,1a ELEIÇÃO,MASCULINO,BRANCA,257145.0,314963,1,30,1,1,ELEITO POR QP
Republicanos,PR,LUIZÃO GOULART,LUIZ GOULARTE ALVES,1a ELEIÇÃO,MASCULINO,BRANCA,793830.0,141730,4,30,1,1,ELEITO POR QP
Republicanos,SP,MARIA ROSAS,MARIA DO PARTO MENDES ROSAS,1a ELEIÇÃO,FEMININO,BRANCA,2423442.36,71745,68,70,1,1,ELEITO POR MÉDIA
PL,AC,ANTÔNIA LÚCIA,ANTÔNIA LUCILÉIA CRUZ RAMOS CÂMARA,1a ELEIÇÃO,FEMININO,PARDA,1521700.0,15336,8,8,0,1,SUPLENTE
PL,PA,CRISTIANO VALE,CRISTIANO DUTRA VALE,1a ELEIÇÃO,MASCULINO,BRANCA,899335.63,176812,2,17,1,1,ELEITO POR QP
Avante,MG,ANDRE JANONES,ANDRE LUIS GASPAR JANONES,1a ELEIÇÃO,MASCULINO,BRANCA,209983.62,178660,3,53,1,1,ELEITO POR QP
MDB,MG,HERCÍLIO COELHO DINIZ,HERCÍLIO ARAÚJO DINIZ FILHO,1a ELEIÇÃO,MASCULINO,PARDA,2012153.08,120489,14,53,1,1,ELEITO POR QP
PSB,PE,GONZAGA PATRIOTA,LUIZ GONZAGA PATRIOTA,REELEITO,MASCULINO,BRANCA,1484245.2,80498,17,25,1,1,ELEITO POR QP
MDB,MT,CARLOS BEZERRA,CARLOS GOMES BEZERRA,REELEITO,MASCULINO,BRANCA,1883972.35,59155,5,8,1,1,ELEITO POR QP
PT,MG,ODAIR CUNHA,ODAIR JOSÉ DA CUNHA,REELEITO,MASCULINO,BRANCA,1627654.69,87891,29,53,1,1,ELEITO POR QP
PDT,SE,FÁBIO HENRIQUE,FABIO HENRIQUE SANTANA DE CARVALHO,1a ELEIÇÃO,MASCULINO,BRANCA,301002.5,35226,12,8,1,0,ELEITO POR MÉDIA
PSL,MT,NELSON BARBUDO,NELSON NED PREVIDENTE,1a ELEIÇÃO,MASCULINO,BRANCA,331815.0,126249,1,8,1,1,ELEITO POR QP
PT,MA,ZE CARLOS,JOSE CARLOS NUNES JUNIOR,REELEITO,MASCULINO,PARDA,920076.67,76893,15,18,1,1,ELEITO POR MÉDIA
PTB,PA,PAULO BENGTSON,PAULO EDUARDO MAESTRI BENGTSON,1a ELEIÇÃO,MASCULINO,BRANCA,1220980.0,96722,15,17,1,1,ELEITO POR QP
NOVO,SC,GILSON MARQUES,GILSON MARQUES VIEIRA,1a ELEIÇÃO,MASCULINO,BRANCA,184759.16,27443,37,16,1,0,ELEITO POR MÉDIA
Progressistas,CE,AJ ALBUQUERQUE,ANTONIO JOSE AGUIAR ALBUQUERQUE,1a ELEIÇÃO,MASCULINO,PARDA,981827.5,132319,7,22,1,1,ELEITO POR QP
PL,PE,SEBASTIÃO OLIVEIRA,SEBASTIÃO IGNACIO DE OLIVEIRA JUNIOR,REELEITO,MASCULINO,BRANCA,1553743.1200000003,129978,4,25,1,1,ELEITO POR QP
PT,MG,ROGÉRIO CORREIA,ROGERIO CORREIA DE MOURA BAPTISTA,1a ELEIÇÃO,MASCULINO,BRANCA,670294.36,131312,9,53,1,1,ELEITO POR QP
PT,MG,PAULO GUEDES,PAULO JOSÉ CARLOS GUEDES,1a ELEIÇÃO,MASCULINO,PARDA,866556.01,176841,4,53,1,1,ELEITO POR QP
PSL,RJ,FELÍCIO LATERÇA,FELÍCIO LATERÇA DE ALMEIDA,1a ELEIÇÃO,MASCULINO,BRANCA,114450.21,47065,33,46,1,1,ELEITO POR QP
PT,SP,CARLOS ZARATTINI,CARLOS ALBERTO ROLIM ZARATTINI,REELEITO,MASCULINO,BRANCA,1382109.93,137909,19,70,1,1,ELEITO POR QP
Republicanos,RR,AIRTON CASCAVEL,AIRTON ANTONIO SOLIGO,1a ELEIÇÃO,MASCULINO,BRANCA,595000.0,10490,8,8,0,1,SUPLENTE
Avante,BA,TITO,CARLOS TITO MARQUES CORDEIRO,1a ELEIÇÃO,MASCULINO,BRANCA,287180.0,48899,48,39,1,0,ELEITO POR QP
PROS,RJ,CLARISSA GARONTINHO,CLARISSA GAROTINHO BARROS ASSED MATHEUS DE OLIVEIRA,REELEITO,FEMININO,BRANCA,1983941.5,35131,54,46,1,0,ELEITO POR MÉDIA
PSD,RS,DANRLEI DE DEUS GOLEIRO,DANRLEI DE DEUS HINTERHOLZ,REELEITO,MASCULINO,BRANCA,1051478.47,102662,13,31,1,1,ELEITO POR QP
DEM,SP,DAVID SOARES,DAVID BEZERRA RIBEIRO SOARES,1a ELEIÇÃO,MASCULINO,BRANCA,570561.0800000001,99865,42,70,1,1,ELEITO POR MÉDIA
PL,AP,PATRICIA FERRAZ,PATRICIA LIMA FERRAZ,1a ELEIÇÃO,FEMININO,BRANCA,571500.0,12950,7,8,0,1,SUPLENTE
PDT,PB,DR DAMIÃO,DAMIÃO FELICIANO DA SILVA,REELEITO,MASCULINO,PRETA,582517.2,100876,4,12,1,1,ELEITO POR QP
PSDB,SP,LOBBE NETO,ANTONIO ADOLPHO LOBBE NETO,1a ELEIÇÃO,MASCULINO,BRANCA,1006000.0,73290,67,70,0,1,SUPLENTE
PDT,AC,JESUS SÉRGIO,JESUS SERGIO DE MENEZES,1a ELEIÇÃO,MASCULINO,PARDA,66561.66,9537,14,8,1,0,ELEITO POR MÉDIA
PSD,SP,MARCO BERTAIOLLI,MARCO AURELIO BERTAIOLLI,1a ELEIÇÃO,MASCULINO,BRANCA,1408948.26,137628,20,70,1,1,ELEITO POR QP
PCdoB,RJ,JANDIRA FEGHALI,JANDIRA FEGHALI,REELEITO,FEMININO,BRANCA,1591343.2000000004,71646,14,46,1,1,ELEITO POR QP
PCdoB,BA,DANIEL ALMEIDA,DANIEL GOMES DE ALMEIDA,REELEITO,MASCULINO,PARDA,1681998.939999999,114213,15,39,1,1,ELEITO POR QP
Cidadania,MG,FABIANO TOLENTINO,FABIANO GALLETTI TOLENTINO,1a ELEIÇÃO,MASCULINO,BRANCA,624843.0300000003,67008,40,53,0,1,SUPLENTE
PRP,BA,RAIMUNDO COSTA,RAIMUNDO MAGALHÃES COSTA,1a ELEIÇÃO,MASCULINO,PARDA,80410.0,38829,51,39,1,0,ELEITO POR MÉDIA
Progressistas,BA,MÁRIO NEGROMONTE JR,MÁRIO SILVIO MENDES NEGROMONTE JÚNIOR,REELEITO,MASCULINO,BRANCA,1803584.0,102512,22,39,1,1,ELEITO POR QP
DEM,SP,ALEXANDRE LEITE,ALEXANDRE LEITE DA SILVA,REELEITO,MASCULINO,BRANCA,1597273.7,116416,34,70,1,1,ELEITO POR QP
Podemos,MG,BRUCE MARTINS,ALLEFE BRUCE DE OLIVEIRA MARTINS,1a ELEIÇÃO,MASCULINO,BRANCA,1357354.51,58634,50,53,0,1,SUPLENTE
PROS,CE,VAIDON OLIVEIRA,FRANCISCO VAIDON OLIVEIRA,1a ELEIÇÃO,MASCULINO,PARDA,894686.74,30392,38,22,1,0,ELEITO POR QP
PSL,MG,MARCELO ALVARO ANTONIO,MARCELO HENRIQUE TEIXEIRA DIAS,REELEITO,MASCULINO,BRANCA,598069.75,230008,1,53,1,1,ELEITO POR QP
Progressistas,BA,CLAUDIO CAJADO,CLAUDIO CAJADO SAMPAIO,REELEITO,MASCULINO,BRANCA,2235342.0,104322,19,39,1,1,ELEITO POR QP
PL,PB,WELLINGTON ROBERTO,JOSÉ WELLINGTON ROBERTO,REELEITO,MASCULINO,PARDA,1660000.0,107465,3,12,1,1,ELEITO POR QP
PL,ES,LAURIETE,LAURIETE RODRIGUES DE JESUS MALTA,1a ELEIÇÃO,FEMININO,BRANCA,2312720.0,51983,11,10,1,0,ELEITO POR MÉDIA
PSL,RJ,LOURIVAL GOMES,LOURIVAL GOMES DE ALMEIDA,1a ELEIÇÃO,MASCULINO,PARDA,201791.49,41307,39,46,1,1,ELEITO POR QP
PT,MG,REGINALDO LOPES,REGINALDO LAZARO DE OLIVEIRA LOPES,REELEITO,MASCULINO,BRANCA,1056430.62,194332,2,53,1,1,ELEITO POR QP
PSB,RO,DR. MAURO NAZIF,MAURO NAZIF RASUL,1a ELEIÇÃO,MASCULINO,BRANCA,590712.0,30399,7,8,1,1,ELEITO POR MÉDIA
PCdoB,PE,RENILDO CALHEIROS,RENILDO VASCONCELOS CALHEIROS,1a ELEIÇÃO,MASCULINO,BRANCA,1383795.2200000002,57919,25,25,1,1,ELEITO POR QP
Progressistas,MG,ANA PAULA,ANA PAULA PROCOPIO JUNQUEIRA,1a ELEIÇÃO,FEMININO,BRANCA,2575061.29,62815,45,53,0,1,SUPLENTE
PL,BA,JOÃO BACELAR,JOAO CARLOS PAOLILO BACELAR FILHO,REELEITO,MASCULINO,BRANCA,2262703.75,84684,28,39,1,1,ELEITO POR MÉDIA
MDB,RJ,VINÍCIUS FARAH,VINICIUS MEDEIROS FARAH,1a ELEIÇÃO,MASCULINO,BRANCA,1260291.85,57707,21,46,1,1,ELEITO POR QP
PSB,RS,HEITOR SCHUCH,HEITOR JOSÉ SCHUCH,REELEITO,MASCULINO,BRANCA,1344700.0,109053,9,31,1,1,ELEITO POR QP
PDT,SP,TABATA AMARAL,TABATA CLAUDIA AMARAL DE PONTES,1a ELEIÇÃO,FEMININO,BRANCA,1290696.6,264450,6,70,1,1,ELEITO POR QP
Solidariedade,MG,ZÉ SILVA,JOSÉ SILVA SOARES,REELEITO,MASCULINO,BRANCA,1774659.84,109335,17,53,1,1,ELEITO POR QP
PV,PR,LEANDRE,LEANDRE DAL PONTE,REELEITO,FEMININO,BRANCA,1218867.24,123958,6,30,1,1,ELEITO POR QP
Podemos,PE,RICARDO TEOBALDO,RICARDO TEOBALDO CAVALCANTI,REELEITO,MASCULINO,PARDA,1007770.0,73551,20,25,1,1,ELEITO POR QP
PSD,RJ,ALEXANDRE SERFIOTIS,ALEXANDRE AUGUSTUS SERFIOTIS,REELEITO,MASCULINO,BRANCA,1073450.93,37526,49,46,1,0,ELEITO POR QP
PSL,RJ,PROFESSOR JOZIEL,JOZIEL FERREIRA CARLOS,1a ELEIÇÃO,MASCULINO,PRETA,37524.3,34274,55,46,1,0,ELEITO POR MÉDIA
Solidariedade,PR,MARCIO PAULIKI,MARCIO ADRIANO PAULIKI,1a ELEIÇÃO,MASCULINO,BRANCA,1235048.1,67125,30,30,0,1,SUPLENTE
PSD,AM,SIDNEY LEITE,SIDNEY RICARDO DE OLIVEIRA LEITE,1a ELEIÇÃO,MASCULINO,PARDA,853150.0,77458,7,8,1,1,ELEITO POR MÉDIA
PT,PI,ASSIS CARVALHO,FRANCISCO DE ASSIS CARVALHO GONÇALVES,REELEITO,MASCULINO,BRANCA,969720.0,129623,3,10,1,1,ELEITO POR QP
PSD,RN,FÁBIO FARIA,FÁBIO SALUSTINO MESQUITA DE FARIA,REELEITO,MASCULINO,BRANCA,1392476.0,70350,9,8,1,0,ELEITO POR MÉDIA
Cidadania,ES,DA VITORIA,JOSIAS MARIO DA VITORIA,1a ELEIÇÃO,MASCULINO,BRANCA,714237.13,74787,3,10,1,1,ELEITO POR QP
PDT,GO,FLAVIA MORAIS,FLAVIA CARREIRO ALBUQUERQUE MORAIS,REELEITO,FEMININO,BRANCA,1647841.19,169774,2,17,1,1,ELEITO POR QP
PL,BA,JOSE ROCHA,JOSE ALVES ROCHA,REELEITO,MASCULINO,BRANCA,1432599.54,84016,31,39,1,1,ELEITO POR MÉDIA
PSOL,SP,LUIZA ERUNDINA,LUIZA ERUNDINA DE SOUSA,REELEITO,FEMININO,BRANCA,326733.33,176883,13,70,1,1,ELEITO POR QP
MDB,MG,FABIO RAMALHO,FÁBIO AUGUSTO RAMALHO DOS SANTOS,REELEITO,MASCULINO,PARDA,2106256.69,63149,44,53,1,1,ELEITO POR QP
MDB,PA,PRIANTE,JOSÉ BENITO PRIANTE JUNIOR,REELEITO,MASCULINO,BRANCA,1532481.0,154647,5,17,1,1,ELEITO POR QP
PSD,BA,SÉRGIO BRITO,SERGIO LUIS LACERDA BRITO,REELEITO,MASCULINO,PARDA,847408.0,105427,17,39,1,1,ELEITO POR QP
MDB,SP,HERCULANO PASSOS,HERCULANO CASTILHO PASSOS JUNIOR,REELEITO,MASCULINO,BRANCA,1509416.66,49653,95,70,1,0,ELEITO POR MÉDIA
Progressistas,SP,TENENTE DERRITE,GUILHERME MURARO DERRITE,1a ELEIÇÃO,MASCULINO,BRANCA,842500.0,119034,30,70,1,1,ELEITO POR QP
Cidadania,RJ,MARCELO CALERO,MARCELO CALERO FARIA GARCIA,1a ELEIÇÃO,MASCULINO,BRANCA,1172722.23,50533,28,46,1,1,ELEITO POR QP
PL,SP,MARCIO ALVINO,MARCIO LUIZ ALVINO DE SOUZA,REELEITO,MASCULINO,BRANCA,958868.2,135844,21,70,1,1,ELEITO POR QP
Progressistas,SC,ANGELA AMIN,ANGELA REGINA HEINZEN AMIN HELOU,1a ELEIÇÃO,FEMININO,BRANCA,2498812.9000000004,86189,8,16,1,1,ELEITO POR QP
PSDB,SP,BRUNA FURLAN,BRUNA DIAS FURLAN,REELEITO,FEMININO,BRANCA,2507376.59,126847,25,70,1,1,ELEITO POR QP
PRP,RJ,WLADIMIR GAROTINHO,WLADIMIR BARROS ASSED MATHEUS DE OLIVEIRA,1a ELEIÇÃO,MASCULINO,BRANCA,134675.5,39398,44,46,1,1,ELEITO POR QP
PSDB,RJ,OTAVIO LEITE,OTAVIO SANTOS SILVA LEITE,REELEITO,MASCULINO,BRANCA,1173316.04,50374,29,46,0,1,SUPLENTE
Progressistas,PR,RICARDO BARROS,RICARDO JOSE MAGALHÃES BARROS,REELEITO,MASCULINO,BRANCA,1994838.83,80025,20,30,1,1,ELEITO POR QP
Solidariedade,PE,AUGUSTO COUTINHO,AUGUSTO RODRIGUES COUTINHO DE MELO,1a ELEIÇÃO,MASCULINO,BRANCA,1111088.77,77817,18,25,1,1,ELEITO POR MÉDIA
PSDB,RO,MARIANA CARVALHO,MARIANA FONSECA RIBEIRO CARVALHO DE MORAES,REELEITO,FEMININO,PARDA,2397398.9199999995,38776,3,8,1,1,ELEITO POR MÉDIA
PL,SP,POLICIAL KATIA SASTRE,KATIA DA SILVA SASTRE,1a ELEIÇÃO,FEMININO,BRANCA,1104000.0,264013,7,70,1,1,ELEITO POR QP
PSB,GO,ELIAS VAZ,ELIAS VAZ DE ANDRADE,1a ELEIÇÃO,MASCULINO,BRANCA,630741.5,74877,13,17,1,1,ELEITO POR QP
PSL,SP,ABOU ANNI,PAULO SERGIO ABOU ANNI,1a ELEIÇÃO,MASCULINO,BRANCA,447044.57,69256,70,70,1,1,ELEITO POR QP
DEM,MA,JUSCELINO FILHO,JOSÉ JUSCELINO DOS SANTOS REZENDE FILHO,REELEITO,MASCULINO,BRANCA,899506.2,97075,12,18,1,1,ELEITO POR MÉDIA
Patriota,SE,DR. EMÍLIA CORREA,EMILIA CORREA SANTOS,1a ELEIÇÃO,FEMININO,BRANCA,327250.0,52921,6,8,0,1,NÃO ELEITO
PDT,CE,IDILVAN,ANTONIO IDILVAN DE LIMA ALENCAR,1a ELEIÇÃO,MASCULINO,BRANCA,213108.78,154338,6,22,1,1,ELEITO POR QP
PDT,AL,RONALDO LESSA,RONALDO AUGUSTO LESSA SANTOS,REELEITO,MASCULINO,BRANCA,647564.52,55474,9,9,0,1,SUPLENTE
PTB,MT,EMANUELZINHO,EMANUEL PINHEIRO DA SILVA PRIMO,1a ELEIÇÃO,MASCULINO,BRANCA,1695920.0,76781,3,8,1,1,ELEITO POR QP
PSDB,RS,LUCAS REDECKER,LUCAS BELLO REDECKER,1a ELEIÇÃO,MASCULINO,BRANCA,1262571.2,114346,7,31,1,1,ELEITO POR QP
Progressistas,SP,RICARDO IZAR,RICARDO IZAR JUNIOR,REELEITO,MASCULINO,BRANCA,2288627.0,121869,28,70,1,1,ELEITO POR QP
Republicanos,RJ,DEJORGE PATRÍCIO,DEJORGE PATRICIO DA SILVA,1a ELEIÇÃO,MASCULINO,PARDA,805000.0,44069,38,46,0,1,SUPLENTE
Solidariedade,GO,LUCAS VERGÍLIO,LUCAS DE CASTRO SANTOS,REELEITO,MASCULINO,BRANCA,1780790.73,78431,11,17,1,1,ELEITO POR QP
PSL,PR,FELIPE FRANCISCHINI,LUIS FELIPE BONATTO FRANCISCHINI,1a ELEIÇÃO,MASCULINO,BRANCA,562929.0,241537,2,30,1,1,ELEITO POR QP
Solidariedade,SP,PAULINHO DA FORÇA,PAULO PEREIRA DA SILVA,REELEITO,MASCULINO,BRANCA,1007590.27,75613,63,70,1,1,ELEITO POR MÉDIA
PL,SP,MIGUEL LOMBARDI,MIGUEL LOMBARDI,REELEITO,MASCULINO,BRANCA,1986673.75,93093,46,70,1,1,ELEITO POR MÉDIA
Solidariedade,RO,TIZIU JIDALIAS,JIDALIAS DOS ANJOS PINTO,1a ELEIÇÃO,MASCULINO,PRETA,1165015.05,28577,8,8,0,1,SUPLENTE
PL,MA,JUNIOR LOURENÇO,JOSE LOURENÇO BONFIM JUNIOR,1a ELEIÇÃO,MASCULINO,PARDA,1649912.2,117033,4,18,1,1,ELEITO POR QP
PSD,MS,FABIO TRAD,FABIO RICARDO TRAD,1a ELEIÇÃO,MASCULINO,BRANCA,688674.0,89385,2,8,1,1,ELEITO POR QP
PSD,MG,MISAEL VARELLA,MISAEL ARTUR FERREIRA VARELLA,REELEITO,MASCULINO,BRANCA,2012825.85,128537,13,53,1,1,ELEITO POR QP
Republicanos,PA,VAVÁ MARTINS,WAGNER BACH MARTINS,1a ELEIÇÃO,MASCULINO,PARDA,790711.0,158717,4,17,1,1,ELEITO POR QP
PSDB,SP,MIGUEL HADDAD,MIGUEL MOUBADDA HADDAD,REELEITO,MASCULINO,BRANCA,1068386.4,86042,53,70,0,1,SUPLENTE
PSL,MS,TIO TRUTIS,LOESTER CARLOS GOMES DE SOUZA,1a ELEIÇÃO,MASCULINO,PARDA,12075.0,56339,6,8,1,1,ELEITO POR QP
PL,SP,CAPITÃO AUGUSTO,JOSÉ AUGUSTO ROSA,REELEITO,MASCULINO,BRANCA,2192352.75,242327,9,70,1,1,ELEITO POR QP
Solidariedade,CE,GENECIAS NORONHA,GENECIAS MATEUS NORONHA,REELEITO,MASCULINO,PARDA,715250.0,113515,11,22,1,1,ELEITO POR QP
PDT,PE,TÚLIO GADÊLHA,TÚLIO GADELHA SALES DE MELO,1a ELEIÇÃO,MASCULINO,BRANCA,163584.31,75642,19,25,1,1,ELEITO POR MÉDIA
DEM,MS,TEREZA CRISTINA,TEREZA CRISTINA CORREA DA COSTA DIAS,REELEITO,FEMININO,BRANCA,2239027.97,75068,4,8,1,1,ELEITO POR MÉDIA
PTB,RS,MAURÍCIO DZIEDRICKI,MAURÍCIO ALEXANDRE DZIEDRICKI,1a ELEIÇÃO,MASCULINO,BRANCA,971369.06,83617,25,31,1,1,ELEITO POR QP
PSB,SP,PROFESSOR LUIZ FLAVIO GOMES,LUIZ FLAVIO GOMES,1a ELEIÇÃO,MASCULINO,PARDA,1602528.24,86433,52,70,1,1,ELEITO POR MÉDIA
PT,SE,MARCIO MACÊDO,MARCIO COSTA MACÊDO,1a ELEIÇÃO,MASCULINO,BRANCA,1167858.18,49055,7,8,0,1,SUPLENTE
PROS,MG,WELITON PRADO,WELITON FERNANDES PRADO,REELEITO,MASCULINO,BRANCA,1785386.31,129199,12,53,1,1,ELEITO POR MÉDIA
PSB,PE,TADEU ALENCAR,FRANCISCO TADEU BARBOSA DE ALENCAR,REELEITO,MASCULINO,BRANCA,1384088.2,53597,29,25,1,0,ELEITO POR MÉDIA
PHS,RJ,GELSON AZEVEDO,GELSON DE AZEVEDO ALMEIDA,1a ELEIÇÃO,MASCULINO,BRANCA,379100.0,28216,62,46,1,0,ELEITO POR MÉDIA
PRP,DF,BIA KICIS,BEATRIZ KICIS TORRENTS DE SORDI,1a ELEIÇÃO,FEMININO,BRANCA,320714.03,86415,3,8,1,1,ELEITO POR MÉDIA
PSOL,RJ,TALÍRIA PETRONE,TALIRIA PETRONE SOARES,1a ELEIÇÃO,FEMININO,PRETA,268241.1,107317,9,46,1,1,ELEITO POR QP
DEM,RJ,JUNINHO DO PNEU,ROGERIO TEIXEIRA JUNIOR,1a ELEIÇÃO,MASCULINO,PARDA,241439.9,45087,35,46,1,1,ELEITO POR MÉDIA
Patriota,PE,PASTOR EURICO,FRANCISCO EURICO DA SILVA,REELEITO,MASCULINO,PARDA,475000.0,125025,5,25,1,1,ELEITO POR QP
PT,RS,HENRIQUE FONTANA,HENRIQUE FONTANA JÚNIOR,REELEITO,MASCULINO,BRANCA,1015344.0,108585,10,31,1,1,ELEITO POR QP
Solidariedade,MA,SIMPLÍCIO ARAÚJO,JOSE SIMPLICIO ALVES DE ARAUJO,1a ELEIÇÃO,MASCULINO,BRANCA,1526181.45,74059,16,18,0,1,SUPLENTE
MDB,RJ,LEONARDO PICCIANI,LEONARDO CARNEIRO MONTEIRO PICCIANI,REELEITO,MASCULINO,BRANCA,1701117.99,38665,46,46,0,1,SUPLENTE
PV,SP,ENRICO MISASI,ENRICO VAN BLARCUM DE GRAAFF MISASI,1a ELEIÇÃO,MASCULINO,BRANCA,383422.02,108038,36,70,1,1,ELEITO POR QP
PCdoB,AP,PROFESSORA MARCIVANIA,MARCIVANIA DO SOCORRO DA ROCHA FLEXA,REELEITO,FEMININO,PARDA,931000.0,14196,5,8,1,1,ELEITO POR MÉDIA
PT,BA,WALDENOR PEREIRA,WALDENOR ALVES PEREIRA FILHO,REELEITO,MASCULINO,PARDA,948676.18,121278,10,39,1,1,ELEITO POR QP
Progressistas,PI,MARGARETE COELHO,MARGARETE DE CASTRO COELHO,1a ELEIÇÃO,FEMININO,BRANCA,2422066.52,76338,7,10,1,1,ELEITO POR MÉDIA
Avante,MG,GREYCE ELIAS,GREYCE DE QUEIROZ ELIAS,1a ELEIÇÃO,FEMININO,BRANCA,1104046.83,37620,78,53,1,0,ELEITO POR QP
PSD,SC,RICARDO GUIDI,RICARDO ZANATTA GUIDI,1a ELEIÇÃO,MASCULINO,BRANCA,747836.2400000001,61830,17,16,1,0,ELEITO POR MÉDIA
PSOL,MG,AUREA CAROLINA,ÁUREA CAROLINA DE FREITAS E SILVA,1a ELEIÇÃO,FEMININO,PARDA,186777.03,162740,5,53,1,1,ELEITO POR QP
PT,PI,MERLONG SOLANO,MERLONG SOLANO NOGUEIRA,1a ELEIÇÃO,MASCULINO,BRANCA,454412.12,71840,9,10,0,1,SUPLENTE
PT,RN,MINEIRO,FERNANDO WANDERLEY VARGAS DA SILVA,1a ELEIÇÃO,MASCULINO,BRANCA,453006.85,98070,3,8,0,1,SUPLENTE
PHS,PE,FERNANDO RODOLFO,FERNANDO RODOLFO TENORIO DE VASCONCELOS,1a ELEIÇÃO,MASCULINO,PARDA,235692.2,52824,30,25,1,0,ELEITO POR MÉDIA
PSL,SP,CORONEL TADEU,MARCIO TADEU ANHAIA DE LEMOS,1a ELEIÇÃO,MASCULINO,BRANCA,70515.23999999999,98373,43,70,1,1,ELEITO POR QP
DEM,GO,DR. ZACARIAS CALIL,ZACARIAS CALIL HAMU,1a ELEIÇÃO,MASCULINO,BRANCA,578587.74,151508,3,17,1,1,ELEITO POR QP
Progressistas,RJ,DR. LUIZINHO,LUIZ ANTONIO DE SOUZA TEIXEIRA JÚNIOR,1a ELEIÇÃO,MASCULINO,BRANCA,1146962.9900000002,103745,11,46,1,1,ELEITO POR QP
Progressistas,RS,COVATTI FILHO,LUIS ANTONIO FRANCISCATTO COVATTI,REELEITO,MASCULINO,BRANCA,2400907.95,102063,14,31,1,1,ELEITO POR QP
PSL,RR,NICOLETTI,ANTONIO CARLOS NICOLETTI,1a ELEIÇÃO,MASCULINO,BRANCA,108440.0,12969,4,8,1,1,ELEITO POR MÉDIA
PSB,SP,LUIZ LAURO FILHO,LUIZ LAURO FERREIRA FILHO,REELEITO,MASCULINO,BRANCA,1670848.5,75535,64,70,0,1,SUPLENTE
DEM,PB,EFRAIM FILHO,EFRAIM DE ARAUJO MORAIS FILHO,REELEITO,MASCULINO,BRANCA,1301353.16,76089,9,12,1,1,ELEITO POR MÉDIA
PSL,MS,DR. LUIZ OVANDO,LUIZ ALBERTO OVANDO,1a ELEIÇÃO,MASCULINO,BRANCA,21648.0,50376,8,8,1,1,ELEITO POR MÉDIA
Progressistas,RS,JERÔNIMO GOERGEN,JERÔNIMO PIZZOLOTTO GOERGEN,REELEITO,MASCULINO,BRANCA,2336389.0,89707,22,31,1,1,ELEITO POR QP
PSB,RN,RAFAEL MOTTA,RAFAEL HUETE DA MOTTA,REELEITO,MASCULINO,BRANCA,1510000.0,82791,5,8,1,1,ELEITO POR QP
