ANO_ELEICAO,SG_UE,SQ_CANDIDATO,NR_TURNO,QT_VOTOS_NOMINAIS
2018,GO,90000608288,1,172
2018,GO,90000608289,1,155
2018,GO,90000608290,1,820
2018,GO,90000608291,1,4324
2018,GO,90000608292,1,777
2018,GO,90000608293,1,144
2018,GO,90000608294,1,2751
2018,GO,90000608295,1,151
2018,GO,90000608296,1,13150
2018,GO,90000608297,1,119
2018,GO,90000608298,1,223
2018,GO,90000608299,1,207
2018,GO,90000608300,1,46545
2018,GO,90000608301,1,17823
2018,GO,90000608302,1,412
2018,GO,90000608303,1,259
2018,GO,90000608304,1,3946
2018,GO,90000608306,1,719
2018,GO,90000608307,1,69
2018,GO,90000608309,1,622
2018,GO,90000608310,1,38
2018,GO,90000609231,1,479180
2018,GO,90000609233,1,196614
2018,GO,90000609234,1,1729637
2018,GO,90000609280,1,950
2018,GO,90000609445,1,416613
2018,GO,90000609446,1,407507
2018,GO,90000609449,1,519691
2018,GO,90000610070,1,106014
2018,GO,90000610071,1,77729
2018,GO,90000610072,1,88545
2018,GO,90000610073,1,230
2018,GO,90000610074,1,29993
2018,GO,90000610075,1,240
2018,GO,90000610076,1,48653
2018,GO,90000610077,1,26507
2018,GO,90000610079,1,21715
2018,GO,90000610080,1,2072
2018,GO,90000610081,1,18682
2018,GO,90000610082,1,640
2018,GO,90000610083,1,401
2018,GO,90000610085,1,1873
2018,GO,90000610086,1,0
2018,GO,90000610087,1,10623
2018,GO,90000610088,1,335
2018,GO,90000610089,1,39976
2018,GO,90000610091,1,691
2018,GO,90000610093,1,270
2018,GO,90000610095,1,5958
2018,GO,90000610440,1,13148
2018,GO,90000610441,1,18626
2018,GO,90000610442,1,5
2018,GO,90000610444,1,6414
2018,GO,90000610446,1,65
2018,GO,90000610447,1,291
2018,GO,90000610448,1,683
2018,GO,90000610449,1,698
2018,GO,90000610450,1,37
2018,GO,90000610451,1,84
2018,GO,90000610452,1,25
2018,GO,90000610453,1,5
2018,GO,90000610454,1,380
2018,GO,90000610455,1,232
2018,GO,90000610457,1,9303
2018,GO,90000610458,1,12014
2018,GO,90000610459,1,576
2018,GO,90000610460,1,4791
2018,GO,90000610461,1,8471
2018,GO,90000610462,1,2844
2018,GO,90000610464,1,4860
2018,GO,90000610465,1,414
2018,GO,90000610466,1,1822
2018,GO,90000610467,1,707
2018,GO,90000610469,1,1206
2018,GO,90000610470,1,590
2018,GO,90000610471,1,967
2018,GO,90000610472,1,54
2018,GO,90000610473,1,2484
2018,GO,90000610474,1,203
2018,GO,90000610475,1,287
2018,GO,90000610476,1,3395
2018,GO,90000610477,1,765
2018,GO,90000610478,1,4279
2018,GO,90000610479,1,574
2018,GO,90000610480,1,219
2018,GO,90000610481,1,1577
2018,GO,90000610482,1,3337
2018,GO,90000610484,1,3577
2018,GO,90000610485,1,303
2018,GO,90000610487,1,801
2018,GO,90000610488,1,402
2018,GO,90000610489,1,440
2018,GO,90000610490,1,172
2018,GO,90000610492,1,234
2018,GO,90000610493,1,268
2018,GO,90000610494,1,110
2018,GO,90000610496,1,6717
2018,GO,90000610498,1,5935
2018,GO,90000610499,1,256
2018,GO,90000610564,1,237
2018,GO,90000610565,1,30868
2018,GO,90000610566,1,741
2018,GO,90000610567,1,714
2018,GO,90000610568,1,377
2018,GO,90000610569,1,45605
2018,GO,90000610570,1,511
2018,GO,90000610571,1,348
2018,GO,90000610572,1,19759
2018,GO,90000610573,1,124
2018,GO,90000610574,1,262
2018,GO,90000610575,1,131
2018,GO,90000610576,1,1263
2018,GO,90000610578,1,110
2018,GO,90000610579,1,351
2018,GO,90000610580,1,148
2018,GO,90000610582,1,32
2018,GO,90000610583,1,1882
2018,GO,90000610584,1,170
2018,GO,90000610585,1,3559
2018,GO,90000610586,1,773
2018,GO,90000610588,1,4504
2018,GO,90000610589,1,453
2018,GO,90000610590,1,31873
2018,GO,90000610591,1,15009
2018,GO,90000610592,1,40970
2018,GO,90000610593,1,16073
2018,GO,90000610594,1,1411
2018,GO,90000610596,1,127
2018,GO,90000610597,1,34655
2018,GO,90000610598,1,12942
2018,GO,90000610599,1,87
2018,GO,90000610600,1,139
2018,GO,90000610602,1,298
2018,GO,90000610603,1,3049
2018,GO,90000610604,1,26
2018,GO,90000610605,1,116
2018,GO,90000610606,1,168
2018,GO,90000610607,1,30389
2018,GO,90000610608,1,15442
2018,GO,90000610609,1,6
2018,GO,90000610610,1,98
2018,GO,90000610612,1,6512
2018,GO,90000610613,1,14183
2018,GO,90000613469,1,796387
2018,GO,90000613470,1,1773185
2018,GO,90000613472,1,1557415
2018,GO,90000613620,1,85
2018,GO,90000613621,1,223
2018,GO,90000613622,1,41
2018,GO,90000613623,1,860
2018,GO,90000613624,1,170
2018,GO,90000613625,1,4591
2018,GO,90000613626,1,416
2018,GO,90000613627,1,5777
2018,GO,90000613628,1,36
2018,GO,90000613629,1,290
2018,GO,90000613630,1,2383
2018,GO,90000613631,1,197
2018,GO,90000613632,1,265
2018,GO,90000613633,1,457
2018,GO,90000613634,1,204
2018,GO,90000613635,1,35
2018,GO,90000613636,1,408
2018,GO,90000613637,1,75
2018,GO,90000613639,1,3898
2018,GO,90000613640,1,1128
2018,GO,90000613642,1,2819
2018,GO,90000613643,1,1784
2018,GO,90000613644,1,3868
2018,GO,90000613645,1,539
2018,GO,90000613647,1,2751
2018,GO,90000613648,1,662
2018,GO,90000613649,1,720
2018,GO,90000613650,1,209
2018,GO,90000613651,1,5458
2018,GO,90000613652,1,133
2018,GO,90000613654,1,497
2018,GO,90000613655,1,1652
2018,GO,90000613656,1,2305
2018,GO,90000613657,1,686
2018,GO,90000613661,1,100
2018,GO,90000613662,1,3468
2018,GO,90000613664,1,754
2018,GO,90000613665,1,566
2018,GO,90000613666,1,841
2018,GO,90000613667,1,2434
2018,GO,90000613668,1,104
2018,GO,90000613669,1,737
2018,GO,90000613670,1,230
2018,GO,90000613672,1,381
2018,GO,90000613673,1,289
2018,GO,90000613674,1,0
2018,GO,90000613675,1,113
2018,GO,90000613677,1,4404
2018,GO,90000613678,1,5972
2018,GO,90000613679,1,790
2018,GO,90000613680,1,97
2018,GO,90000613682,1,110
2018,GO,90000613683,1,742
2018,GO,90000613684,1,595
2018,GO,90000613685,1,212
2018,GO,90000615102,1,626
2018,GO,90000615103,1,1426
2018,GO,90000615104,1,390
2018,GO,90000615105,1,2124
2018,GO,90000615107,1,5933
2018,GO,90000615108,1,178
2018,GO,90000615109,1,2924
2018,GO,90000615110,1,23994
2018,GO,90000615111,1,10988
2018,GO,90000615113,1,462
2018,GO,90000615114,1,227
2018,GO,90000615115,1,224
2018,GO,90000615116,1,18066
2018,GO,90000615117,1,46
2018,GO,90000615118,1,29853
2018,GO,90000615119,1,4114
2018,GO,90000615120,1,16253
2018,GO,90000615121,1,0
2018,GO,90000615122,1,83
2018,GO,90000615123,1,4243
2018,GO,90000615124,1,250
2018,GO,90000615125,1,400
2018,GO,90000615126,1,0
2018,GO,90000615127,1,0
2018,GO,90000615128,1,20556
2018,GO,90000615129,1,29
2018,GO,90000615130,1,1208
2018,GO,90000615131,1,5960
2018,GO,90000615132,1,18789
2018,GO,90000615133,1,20501
2018,GO,90000615134,1,70
2018,GO,90000615135,1,248
2018,GO,90000615136,1,652
2018,GO,90000615137,1,14280
2018,GO,90000615138,1,627
2018,GO,90000615139,1,3942
2018,GO,90000615140,1,2847
2018,GO,90000615990,1,0
2018,GO,90000615991,1,64941
2018,GO,90000615992,1,1083
2018,GO,90000615993,1,0
2018,GO,90000615994,1,996
