ANO_ELEICAO,SG_UE,SQ_CANDIDATO,NR_TURNO,QT_VOTOS_NOMINAIS
2014,BA,50000000001,1,16788
2014,BA,50000000002,1,2747
2014,BA,50000000003,1,7263
2014,BA,50000000005,1,304
2014,BA,50000000007,1,50891
2014,BA,50000000008,1,5713
2014,BA,50000000010,1,27
2014,BA,50000000011,1,844
2014,BA,50000000012,1,2288
2014,BA,50000000013,1,1525
2014,BA,50000000014,1,595
2014,BA,50000000015,1,1963
2014,BA,50000000016,1,156
2014,BA,50000000017,1,1121
2014,BA,50000000018,1,15
2014,BA,50000000019,1,854
2014,BA,50000000020,1,3209
2014,BA,50000000021,1,54105
2014,BA,50000000022,1,195
2014,BA,50000000024,1,1523
2014,BA,50000000027,1,1330
2014,BA,50000000028,1,662
2014,BA,50000000030,1,287
2014,BA,50000000032,1,435
2014,BA,50000000033,1,633
2014,BA,50000000034,1,741
2014,BA,50000000035,1,1944
2014,BA,50000000037,1,422
2014,BA,50000000039,1,1035
2014,BA,50000000040,1,399
2014,BA,50000000041,1,665
2014,BA,50000000042,1,0
2014,BA,50000000043,1,44
2014,BA,50000000045,1,1207
2014,BA,50000000046,1,2735
2014,BA,50000000047,1,3862
2014,BA,50000000049,1,21288
2014,BA,50000000050,1,23291
2014,BA,50000000051,1,2512
2014,BA,50000000053,1,4781
2014,BA,50000000054,1,21
2014,BA,50000000055,1,192
2014,BA,50000000056,1,866
2014,BA,50000000057,1,655
2014,BA,50000000058,1,541
2014,BA,50000000059,1,385
2014,BA,50000000060,1,423
2014,BA,50000000061,1,399
2014,BA,50000000062,1,1743
2014,BA,50000000063,1,412
2014,BA,50000000064,1,1741
2014,BA,50000000065,1,2290
2014,BA,50000000066,1,3528
2014,BA,50000000068,1,80
2014,BA,50000000069,1,896
2014,BA,50000000070,1,218
2014,BA,50000000071,1,846
2014,BA,50000000072,1,61
2014,BA,50000000073,1,844
2014,BA,50000000075,1,684
2014,BA,50000000077,1,109
2014,BA,50000000078,1,304
2014,BA,50000000079,1,82
2014,BA,50000000080,1,3599
2014,BA,50000000081,1,575
2014,BA,50000000083,1,1871
2014,BA,50000000084,1,96
2014,BA,50000000085,1,4050
2014,BA,50000000086,1,20429
2014,BA,50000000087,1,27242
2014,BA,50000000088,1,14503
2014,BA,50000000089,1,17927
2014,BA,50000000090,1,12045
2014,BA,50000000091,1,166
2014,BA,50000000092,1,8870
2014,BA,50000000093,1,436
2014,BA,50000000094,1,314
2014,BA,50000000095,1,24167
2014,BA,50000000096,1,232
2014,BA,50000000097,1,5071
2014,BA,50000000098,1,1885
2014,BA,50000000099,1,16
2014,BA,50000000100,1,4077
2014,BA,50000000101,1,2338
2014,BA,50000000102,1,509
2014,BA,50000000103,1,2394
2014,BA,50000000104,1,345
2014,BA,50000000105,1,6402
2014,BA,50000000106,1,33973
2014,BA,50000000107,1,19531
2014,BA,50000000108,1,607
2014,BA,50000000109,1,1593
2014,BA,50000000110,1,626
2014,BA,50000000111,1,405
2014,BA,50000000112,1,1395
2014,BA,50000000113,1,51533
2014,BA,50000000114,1,12984
2014,BA,50000000115,1,198
2014,BA,50000000116,1,250
2014,BA,50000000117,1,25248
2014,BA,50000000118,1,25892
2014,BA,50000000119,1,557
2014,BA,50000000120,1,159840
2014,BA,50000000121,1,71372
2014,BA,50000000122,1,1299
2014,BA,50000000123,1,130583
2014,BA,50000000124,1,1165
2014,BA,50000000125,1,163
2014,BA,50000000126,1,1384
2014,BA,50000000127,1,1560
2014,BA,50000000128,1,12242
2014,BA,50000000129,1,694
2014,BA,50000000131,1,28276
2014,BA,50000000132,1,82661
2014,BA,50000000133,1,72682
2014,BA,50000000134,1,50681
2014,BA,50000000135,1,135382
2014,BA,50000000136,1,65171
2014,BA,50000000137,1,31503
2014,BA,50000000138,1,63624
2014,BA,50000000139,1,55636
2014,BA,50000000140,1,3945
2014,BA,50000000141,1,125159
2014,BA,50000000142,1,98871
2014,BA,50000000143,1,0
2014,BA,50000000144,1,48531
2014,BA,50000000145,1,125862
2014,BA,50000000146,1,81414
2014,BA,50000000147,1,111252
2014,BA,50000000148,1,64265
2014,BA,50000000149,1,123284
2014,BA,50000000150,1,114965
2014,BA,50000000151,1,56507
2014,BA,50000000152,1,51676
2014,BA,50000000153,1,66215
2014,BA,50000000154,1,105776
2014,BA,50000000155,1,72013
2014,BA,50000000156,1,56206
2014,BA,50000000157,1,77045
2014,BA,50000000158,1,1417
2014,BA,50000000159,1,111643
2014,BA,50000000160,1,101663
2014,BA,50000000161,1,16694
2014,BA,50000000162,1,37
2014,BA,50000000163,1,85
2014,BA,50000000164,1,125605
2014,BA,50000000166,1,6960
2014,BA,50000000167,1,169215
2014,BA,50000000168,1,110822
2014,BA,50000000169,1,148628
2014,BA,50000000170,1,3246
2014,BA,50000000172,1,52
2014,BA,50000000173,1,117
2014,BA,50000000174,1,83658
2014,BA,50000000175,1,194
2014,BA,50000000176,1,432379
2014,BA,50000000177,1,502928
2014,BA,50000000178,1,6182
2014,BA,50000000179,1,13076
2014,BA,50000000180,1,630
2014,BA,50000000181,1,689
2014,BA,50000000182,1,135
2014,BA,50000000183,1,21959
2014,BA,50000000184,1,15040
2014,BA,50000000187,1,22317
2014,BA,50000000188,1,1164
2014,BA,50000000190,1,1726
2014,BA,50000000191,1,962
2014,BA,50000000192,1,374
2014,BA,50000000193,1,521
2014,BA,50000000194,1,555
2014,BA,50000000196,1,611
2014,BA,50000000197,1,514
2014,BA,50000000198,1,2746
2014,BA,50000000199,1,54172
2014,BA,50000000200,1,10783
2014,BA,50000000201,1,36023
2014,BA,50000000202,1,96134
2014,BA,50000000203,1,255
2014,BA,50000000204,1,1080
2014,BA,50000000205,1,299
2014,BA,50000000206,1,6446
2014,BA,50000000207,1,923
2014,BA,50000000208,1,901
2014,BA,50000000209,1,0
2014,BA,50000000210,1,336
2014,BA,50000000211,1,2001
2014,BA,50000000212,1,478
2014,BA,50000000213,1,1199
2014,BA,50000000214,1,2871
2014,BA,50000000215,1,3837
2014,BA,50000000216,1,7306
2014,BA,50000000217,1,683
2014,BA,50000000218,1,86
2014,BA,50000000219,1,234
2014,BA,50000000221,1,1473
2014,BA,50000000222,1,195
2014,BA,50000000223,1,77
2014,BA,50000000224,1,719
2014,BA,50000000225,1,1261
2014,BA,50000000226,1,139
2014,BA,50000000227,1,2687
2014,BA,50000000228,1,352
2014,BA,50000000229,1,6268
2014,BA,50000000230,1,4806
2014,BA,50000000231,1,811
2014,BA,50000000232,1,1969
2014,BA,50000000233,1,137
2014,BA,50000000234,1,397
2014,BA,50000000235,1,478
2014,BA,50000000236,1,207
2014,BA,50000000237,1,4978
2014,BA,50000000241,1,1972
2014,BA,50000000242,1,17995
2014,BA,50000000243,1,1196
2014,BA,50000000244,1,3898
2014,BA,50000000247,1,325
2014,BA,50000000248,1,21
2014,BA,50000000249,1,127
2014,BA,50000000250,1,66051
2014,BA,50000000251,1,918
2014,BA,50000000252,1,6638
2014,BA,50000000254,1,2565
2014,BA,50000000255,1,14589
2014,BA,50000000256,1,4
2014,BA,50000000257,1,326
2014,BA,50000000258,1,602
2014,BA,50000000260,1,8394
2014,BA,50000000261,1,2732
2014,BA,50000000263,1,276
2014,BA,50000000264,1,40
2014,BA,50000000265,1,39
2014,BA,50000000267,1,135
2014,BA,50000000268,1,903
2014,BA,50000000269,1,66
2014,BA,50000000270,1,570
2014,BA,50000000271,1,5823
2014,BA,50000000272,1,0
2014,BA,50000000274,1,5537
2014,BA,50000000275,1,1523
2014,BA,50000000277,1,1228
2014,BA,50000000278,1,522
2014,BA,50000000279,1,14149
2014,BA,50000000280,1,1206
2014,BA,50000000281,1,890
2014,BA,50000000282,1,2552
2014,BA,50000000283,1,52140
2014,BA,50000000284,1,511
2014,BA,50000000285,1,45887
2014,BA,50000000286,1,541
2014,BA,50000000287,1,148690
2014,BA,50000000288,1,787
2014,BA,50000000290,1,44978
2014,BA,50000000291,1,61954
2014,BA,50000000292,1,322
2014,BA,50000000293,1,857
2014,BA,50000000294,1,505
2014,BA,50000000295,1,1754
2014,BA,50000000296,1,4607
2014,BA,50000000297,1,8322
2014,BA,50000000298,1,1251
2014,BA,50000000299,1,674
2014,BA,50000000300,1,2397
2014,BA,50000000301,1,1390
2014,BA,50000000302,1,52
2014,BA,50000000303,1,382
2014,BA,50000000304,1,2439
2014,BA,50000000305,1,15320
2014,BA,50000000306,1,719
2014,BA,50000000307,1,10586
2014,BA,50000000308,1,2246
2014,BA,50000000309,1,707
2014,BA,50000000311,1,20618
2014,BA,50000000312,1,35519
2014,BA,50000000313,1,6228
2014,BA,50000000314,1,32794
2014,BA,50000000315,1,19330
2014,BA,50000000316,1,1830
2014,BA,50000000317,1,5334
2014,BA,50000000318,1,2494
2014,BA,50000000319,1,4285
2014,BA,50000000320,1,9972
2014,BA,50000000321,1,24857
2014,BA,50000000322,1,43894
2014,BA,50000000323,1,3301
2014,BA,50000000324,1,10860
2014,BA,50000000325,1,33414
2014,BA,50000000326,1,1184
2014,BA,50000000327,1,43211
2014,BA,50000000328,1,13789
2014,BA,50000000329,1,88817
2014,BA,50000000330,1,16665
2014,BA,50000000331,1,7880
